file,timestamp,ticker
recommendations/00000698.html,12-03-2014T13h00,RAPT4
recommendations/00000698.html,12-03-2014T13h00,SLED4
recommendations/00000698.html,12-03-2014T13h00,SEER3
recommendations/00000698.html,12-03-2014T13h00,SSBR3
recommendations/00000698.html,12-03-2014T13h00,CRUZ3
recommendations/00000698.html,12-03-2014T13h00,VIVT4
recommendations/00000698.html,12-03-2014T13h00,TBLE3
recommendations/00000698.html,12-03-2014T13h00,UGPA3
recommendations/00000698.html,12-03-2014T13h00,VALE3
recommendations/00000698.html,12-03-2014T13h00,VLID3
recommendations/00000699.html,02-06-2015T14h56,CCRO3
recommendations/00000699.html,02-06-2015T14h56,EQTL3
recommendations/00000699.html,02-06-2015T14h56,FIBR3
recommendations/00000699.html,02-06-2015T14h56,MYPK3
recommendations/00000699.html,02-06-2015T14h56,NATU3
recommendations/00000699.html,02-06-2015T14h56,SBSP3
recommendations/00000699.html,02-06-2015T14h56,TIMP3
recommendations/00000699.html,02-06-2015T14h56,VLID3
recommendations/00000699.html,02-06-2015T14h56,WEGE3
recommendations/00000700.html,03-04-2014T10h03,CGRA4
recommendations/00000700.html,03-04-2014T10h03,ESTC3
recommendations/00000700.html,03-04-2014T10h03,ITUB4
recommendations/00000700.html,03-04-2014T10h03,JSLG3
recommendations/00000700.html,03-04-2014T10h03,CGRA4
recommendations/00000700.html,03-04-2014T10h03,ESTC3
recommendations/00000700.html,03-04-2014T10h03,ITUB4
recommendations/00000700.html,03-04-2014T10h03,JSLG3
recommendations/00000701.html,11-10-2013T11h13,CCRO3
recommendations/00000701.html,11-10-2013T11h13,MPLU3
recommendations/00000701.html,11-10-2013T11h13,TBLE3
recommendations/00000701.html,11-10-2013T11h13,GRND3
recommendations/00000701.html,11-10-2013T11h13,BBDC4
recommendations/00000701.html,11-10-2013T11h13,GRND3
recommendations/00000701.html,11-10-2013T11h13,CCRO3
recommendations/00000701.html,11-10-2013T11h13,MPLU3
recommendations/00000701.html,11-10-2013T11h13,TBLE3
recommendations/00000701.html,11-10-2013T11h13,BBDC4
recommendations/00000702.html,11-04-2014T16h00,CIEL3
recommendations/00000702.html,11-04-2014T16h00,CTIP3
recommendations/00000702.html,11-04-2014T16h00,ABEV3
recommendations/00000702.html,11-04-2014T16h00,CCRO3
recommendations/00000702.html,11-04-2014T16h00,BBSE3
recommendations/00000702.html,11-04-2014T16h00,VIVT4
recommendations/00000702.html,11-04-2014T16h00,ABEV3
recommendations/00000702.html,11-04-2014T16h00,CTIP3
recommendations/00000702.html,11-04-2014T16h00,BBSE3
recommendations/00000702.html,11-04-2014T16h00,CCRO3
recommendations/00000702.html,11-04-2014T16h00,VIVT4
recommendations/00000703.html,16-12-2014T9h00,KROT3
recommendations/00000703.html,16-12-2014T9h00,JSLG3
recommendations/00000703.html,16-12-2014T9h00,ESTC3
recommendations/00000703.html,16-12-2014T9h00,POMO4
recommendations/00000703.html,16-12-2014T9h00,VLID3
recommendations/00000703.html,16-12-2014T9h00,MDIA3
recommendations/00000703.html,16-12-2014T9h00,QUAL3
recommendations/00000703.html,16-12-2014T9h00,ESTC3
recommendations/00000703.html,16-12-2014T9h00,VLID3
recommendations/00000703.html,16-12-2014T9h00,MDIA3
recommendations/00000703.html,16-12-2014T9h00,POMO4
recommendations/00000703.html,16-12-2014T9h00,QUAL3
recommendations/00000704.html,06-09-2013T10h30,VIVT4
recommendations/00000704.html,06-09-2013T10h30,TBLE3
recommendations/00000704.html,06-09-2013T10h30,AMBV4
recommendations/00000704.html,06-09-2013T10h30,CMIG4
recommendations/00000704.html,06-09-2013T10h30,BBDC4
recommendations/00000704.html,06-09-2013T10h30,BBSE3
recommendations/00000704.html,06-09-2013T10h30,CCRO3
recommendations/00000704.html,06-09-2013T10h30,CIEL3
recommendations/00000704.html,06-09-2013T10h30,GRND3
recommendations/00000704.html,06-09-2013T10h30,UGPA3
recommendations/00000704.html,06-09-2013T10h30,GETI4
recommendations/00000705.html,14-04-2014T13h10,PETR4
recommendations/00000705.html,14-04-2014T13h10,BBAS3
recommendations/00000705.html,14-04-2014T13h10,GETI4
recommendations/00000705.html,14-04-2014T13h10,ALLL3
recommendations/00000705.html,14-04-2014T13h10,NATU3
recommendations/00000705.html,14-04-2014T13h10,GETI4
recommendations/00000705.html,14-04-2014T13h10,ALLL3
recommendations/00000705.html,14-04-2014T13h10,PETR4
recommendations/00000705.html,14-04-2014T13h10,NATU3
recommendations/00000705.html,14-04-2014T13h10,BBAS3
recommendations/00000706.html,16-03-2015T13h15,HYPE3
recommendations/00000706.html,16-03-2015T13h15,VLID3
recommendations/00000706.html,16-03-2015T13h15,QUAL3
recommendations/00000706.html,16-03-2015T13h15,MDIA3
recommendations/00000706.html,16-03-2015T13h15,ITUB4
recommendations/00000706.html,16-03-2015T13h15,ITUB4
recommendations/00000706.html,16-03-2015T13h15,VLID3
recommendations/00000706.html,16-03-2015T13h15,MDIA3
recommendations/00000706.html,16-03-2015T13h15,HYPE3
recommendations/00000706.html,16-03-2015T13h15,QUAL3
recommendations/00000707.html,01-07-2014T12h45,ABEV3
recommendations/00000707.html,01-07-2014T12h45,BRFS3
recommendations/00000707.html,01-07-2014T12h45,BBAS3
recommendations/00000707.html,01-07-2014T12h45,PCAR4
recommendations/00000707.html,01-07-2014T12h45,CIEL3
recommendations/00000707.html,01-07-2014T12h45,MGLU3
recommendations/00000707.html,01-07-2014T12h45,UGPA3
recommendations/00000707.html,01-07-2014T12h45,BBSE3
recommendations/00000707.html,01-07-2014T12h45,ESTC3
recommendations/00000707.html,01-07-2014T12h45,NATU3
recommendations/00000707.html,01-07-2014T12h45,CPFE3
recommendations/00000708.html,09-10-2014T12h10,ABEV3
recommendations/00000708.html,09-10-2014T12h10,CIEL3
recommendations/00000708.html,09-10-2014T12h10,ECOR3
recommendations/00000708.html,09-10-2014T12h10,ODPV3
recommendations/00000708.html,09-10-2014T12h10,VIVT4
recommendations/00000708.html,09-10-2014T12h10,ABEV3
recommendations/00000708.html,09-10-2014T12h10,ECOR3
recommendations/00000708.html,09-10-2014T12h10,CIEL3
recommendations/00000708.html,09-10-2014T12h10,ODPV3
recommendations/00000708.html,09-10-2014T12h10,VIVT4
recommendations/00000709.html,07-05-2014T10h37,ABEV3
recommendations/00000709.html,07-05-2014T10h37,BRAP4
recommendations/00000709.html,07-05-2014T10h37,MPLU3
recommendations/00000709.html,07-05-2014T10h37,BRAP4
recommendations/00000709.html,07-05-2014T10h37,CIEL3
recommendations/00000709.html,07-05-2014T10h37,VIVT4
recommendations/00000709.html,07-05-2014T10h37,TBLE3
recommendations/00000709.html,07-05-2014T10h37,BBSE3
recommendations/00000709.html,07-05-2014T10h37,MPLU3
recommendations/00000709.html,07-05-2014T10h37,BVMF3
recommendations/00000709.html,07-05-2014T10h37,ABEV3
recommendations/00000710.html,23-06-2014T13h18,PETR4
recommendations/00000710.html,23-06-2014T13h18,BBAS3
recommendations/00000710.html,23-06-2014T13h18,GETI4
recommendations/00000710.html,23-06-2014T13h18,ALLL3
recommendations/00000710.html,23-06-2014T13h18,NATU3
recommendations/00000710.html,23-06-2014T13h18,GETI4
recommendations/00000710.html,23-06-2014T13h18,ALLL3
recommendations/00000710.html,23-06-2014T13h18,PETR4
recommendations/00000710.html,23-06-2014T13h18,NATU3
recommendations/00000710.html,23-06-2014T13h18,BBAS3
recommendations/00000711.html,06-02-2014T11h42,GOAU4
recommendations/00000711.html,06-02-2014T11h42,ECOR3
recommendations/00000711.html,06-02-2014T11h42,BBDC4
recommendations/00000711.html,06-02-2014T11h42,LAME4
recommendations/00000711.html,06-02-2014T11h42,GRND3
recommendations/00000711.html,06-02-2014T11h42,EMBR3
recommendations/00000711.html,06-02-2014T11h42,OIBR4
